,date,map,o_player1,o_player1_agent,o_player2,o_player2_agent,o_player3,o_player3_agent,o_player4,o_player4_agent,o_player5,o_player5_agent,o_team,player1,player1_agent,player2,player2_agent,player3,player3_agent,player4,player4_agent,player5,player5_agent,result,team
0,01-12-21,Haven,JohnOlsen,jett,PTC,breach,ChAlalala,cypher,SuperBusS,astra,LAMMYSNAX,skye,FS,stax,breach,Rb,skye,k1Ng,killjoy,MaKo,astra,BuZz,jett,Win,VS
1,01-12-21,Breeze,LAMMYSNAX,sova,JohnOlsen,jett,SuperBusS,viper,PTC,skye,ChAlalala,cypher,FS,BuZz,jett,k1Ng,cypher,Rb,sova,MaKo,viper,stax,skye,Win,VS
2,12-05-21,Haven,RAINMAKER,sova,sickLy,killjoy,DaveeyS,brimstone,jfoeN,raze,Alejo,breach,INF,delz1k,astra,bnj,skye,NagZ,sage,Mazino,viper,Klaus,killjoy,Win,KRÜ
3,12-05-21,Ascent,DaveeyS,astra,jfoeN,yoru,RAINMAKER,sova,Alejo,breach,sickLy,cypher,INF,delz1k,omen,NagZ,jett,bnj,sova,Mazino,sage,Klaus,killjoy,Win,KRÜ
4,12-05-21,Bind,RAINMAKER,sova,jfoeN,raze,DaveeyS,brimstone,sickLy,viper,Alejo,skye,INF,Mazino,viper,delz1k,brimstone,bnj,sova,Klaus,skye,NagZ,raze,Lose,KRÜ
5,12-05-21,Split,DaveeyS,astra,Alejo,breach,jfoeN,raze,RAINMAKER,sage,sickLy,killjoy,INF,Mazino,sage,bnj,raze,delz1k,omen,NagZ,jett,Klaus,killjoy,Win,KRÜ
6,12-12-21,Breeze,nAts,viper,Chronicle,killjoy,d3ffo,jett,sheydos,skye,Redgar,sova,GMB,cNed,jett,zeek,kayo,BONECOLD,sova,starxo,viper,Kiles,cypher,Lose,ACE
7,12-12-21,Ascent,Redgar,astra,sheydos,skye,d3ffo,jett,nAts,cypher,Chronicle,sova,GMB,BONECOLD,sova,starxo,astra,cNed,jett,zeek,kayo,Kiles,killjoy,Win,ACE
8,12-12-21,Fracture,nAts,cypher,Chronicle,brimstone,d3ffo,raze,Redgar,breach,sheydos,sage,GMB,starxo,astra,zeek,raze,cNed,jett,BONECOLD,breach,Kiles,cypher,Lose,ACE
9,12-12-21,Icebox,Chronicle,sova,sheydos,reyna,d3ffo,jett,nAts,viper,Redgar,sage,GMB,cNed,jett,zeek,reyna,starxo,sage,Kiles,viper,BONECOLD,sova,Win,ACE
10,12-12-21,Split,d3ffo,jett,Chronicle,killjoy,nAts,viper,Redgar,astra,sheydos,skye,GMB,cNed,jett,starxo,sage,zeek,raze,BONECOLD,omen,Kiles,cypher,Win,ACE
11,25-05-21,Ascent,Patiphan,sage,foxz,sova,Sushiboys,killjoy,sScary,astra,Crws,skye,X10C,Sacy,sova,sutecas,omen,saadhak,killjoy,gtnJESUS,raze,frz,phoenix,Win,VKS
12,25-05-21,Icebox,Patiphan,jett,Sushiboys,cypher,Crws,skye,sScary,viper,foxz,sova,X10C,frz,jett,Sacy,sova,saadhak,killjoy,gtnJESUS,raze,sutecas,omen,Win,VKS
13,29-06-21,Icebox,Lemming,sova,Anq,jett,Ivan4ezz,reyna,dawn7,viper,Kosmos,sage,M5,diseased,reyna,Lightning,viper,perfect,sova,MushroomY,sage,Sparkle,jett,Win,VNG
14,29-06-21,Split,Anq,raze,Kosmos,cypher,dawn7,brimstone,Lemming,sage,Ivan4ezz,breach,M5,Sparkle,raze,Lightning,cypher,diseased,sage,perfect,breach,MushroomY,astra,Win,VNG
15,29-06-21,Ascent,mate,sova,soze,cypher,Anreit,breach,AiyvaN,jett,s3mig0d,omen,DEAT,Sady,sage,Lanerinno,phoenix,ImMDez,killjoy,Mannick,omen,NORGAC,sova,Win,ASPI
16,29-06-21,Haven,AiyvaN,astra,soze,killjoy,Anreit,sage,mate,sova,s3mig0d,viper,DEAT,Lanerinno,phoenix,Mannick,viper,Sady,omen,NORGAC,skye,ImMDez,killjoy,Lose,ASPI
17,29-06-21,Bind,soze,cypher,s3mig0d,raze,Anreit,sova,mate,sage,AiyvaN,astra,DEAT,Mannick,viper,Lanerinno,sage,Sady,skye,NORGAC,phoenix,ImMDez,omen,Win,ASPI
18,10-07-21,Icebox,Cloud,sova,7ssk7,jett,arch,viper,dinkzj,killjoy,Duno,sage,NP,Chronicle,reyna,nAts,viper,sheydos,sage,d3ffo,jett,Redgar,sova,Win,GMB
19,10-07-21,Breeze,7ssk7,reyna,Cloud,jett,arch,viper,dinkzj,cypher,Duno,sova,NP,Chronicle,viper,nAts,cypher,sheydos,omen,d3ffo,skye,Redgar,sova,Win,GMB
20,10-07-21,Split,Cloud,raze,arch,sage,7ssk7,reyna,dinkzj,killjoy,Duno,astra,NP,nAts,cypher,sheydos,sage,Chronicle,killjoy,Redgar,omen,d3ffo,skye,Win,GMB
21,09-07-21,Icebox,zeddy,viper,Art1st,sage,SUYGETSU,killjoy,Coffee,jett,hugeon,skye,FORZ,7ssk7,jett,arch,viper,Cloud,sova,dinkzj,killjoy,Duno,sage,Win,NP
22,09-07-21,Bind,Art1st,sova,Coffee,yoru,zeddy,astra,SUYGETSU,skye,hugeon,viper,FORZ,7ssk7,reyna,Duno,astra,Cloud,sova,dinkzj,raze,arch,viper,Win,NP
23,09-07-21,Split,Coffee,raze,Art1st,sage,zeddy,astra,hugeon,skye,SUYGETSU,cypher,FORZ,7ssk7,reyna,Cloud,raze,arch,sage,dinkzj,killjoy,Duno,astra,Win,NP
24,04-07-21,Ascent,x1o,jett,RoBeeee,sova,Sak,raze,Kei,omen,blue,sage,NO N,Zenakukin,raze,Zerost,killjoy,pinck,sova,Vue3,omen,timatin,jett,Win,BB
