,round,100 Thieves,Acend,date,map,event
0,1,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
1,2,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
2,3,2,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
3,4,1,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
4,5,1,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
5,6,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
6,7,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
7,8,0,4,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
8,9,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
9,10,0,4,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
10,11,0,4,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
11,12,1,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
12,13,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
13,14,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
14,15,3,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
15,16,3,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
16,17,3,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
17,18,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
18,19,0,3,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
19,20,3,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
20,21,4,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
21,22,3,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
22,23,3,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
23,24,3,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
24,25,1,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
25,26,3,0,17-09-21,Breeze,Valorant Champions Tour Stage 3: Masters Berlin
