,round,100 Thieves,Liberty,date,map,event
0,1,1,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
1,2,1,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
2,3,1,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
3,4,1,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
4,5,0,3,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
5,6,2,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
6,7,0,3,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
7,8,0,4,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
8,9,0,3,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
9,10,1,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
10,11,2,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
11,12,1,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
12,13,0,3,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
13,14,0,3,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
14,15,3,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
15,16,3,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
16,17,3,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
17,18,3,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
18,19,3,0,10-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
