,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,4,06-12-21,Bind,VALORANT Champions,Acend,Envy
1,2,3,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
2,3,0,4,06-12-21,Bind,VALORANT Champions,Acend,Envy
3,4,4,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
4,5,3,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
5,6,4,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
6,7,3,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
7,8,4,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
8,9,0,3,06-12-21,Bind,VALORANT Champions,Acend,Envy
9,10,4,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
10,11,3,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
11,12,3,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
12,13,2,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
13,14,0,3,06-12-21,Bind,VALORANT Champions,Acend,Envy
14,15,0,3,06-12-21,Bind,VALORANT Champions,Acend,Envy
15,16,0,3,06-12-21,Bind,VALORANT Champions,Acend,Envy
16,17,0,3,06-12-21,Bind,VALORANT Champions,Acend,Envy
17,18,0,4,06-12-21,Bind,VALORANT Champions,Acend,Envy
18,19,0,3,06-12-21,Bind,VALORANT Champions,Acend,Envy
19,20,0,4,06-12-21,Bind,VALORANT Champions,Acend,Envy
20,21,2,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
21,22,0,3,06-12-21,Bind,VALORANT Champions,Acend,Envy
22,23,2,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
23,24,2,0,06-12-21,Bind,VALORANT Champions,Acend,Envy
