,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,2,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
1,2,1,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
2,3,0,3,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
3,4,1,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
4,5,2,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
5,6,1,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
6,7,1,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
7,8,0,3,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
8,9,1,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
9,10,0,3,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
10,11,0,4,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
11,12,0,3,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
12,13,3,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
13,14,3,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
14,15,0,3,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
15,16,0,3,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
16,17,0,3,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
17,18,4,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
18,19,4,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
19,20,3,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
20,21,3,0,12-12-21,Split,VALORANT Champions,Acend,Gambit Esports,AcendvsGambit Esports12-12-21
