,round,Acend,Keyd Stars,date,map,event
0,1,0,4,05-12-21,Breeze,VALORANT Champions
1,2,0,3,05-12-21,Breeze,VALORANT Champions
2,3,3,0,05-12-21,Breeze,VALORANT Champions
3,4,4,0,05-12-21,Breeze,VALORANT Champions
4,5,0,4,05-12-21,Breeze,VALORANT Champions
5,6,0,3,05-12-21,Breeze,VALORANT Champions
6,7,0,3,05-12-21,Breeze,VALORANT Champions
7,8,0,4,05-12-21,Breeze,VALORANT Champions
8,9,0,4,05-12-21,Breeze,VALORANT Champions
9,10,0,3,05-12-21,Breeze,VALORANT Champions
10,11,0,3,05-12-21,Breeze,VALORANT Champions
11,12,2,0,05-12-21,Breeze,VALORANT Champions
12,13,2,0,05-12-21,Breeze,VALORANT Champions
13,14,2,0,05-12-21,Breeze,VALORANT Champions
14,15,0,3,05-12-21,Breeze,VALORANT Champions
15,16,1,0,05-12-21,Breeze,VALORANT Champions
