,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,2,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
1,2,1,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
2,3,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
3,4,1,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
4,5,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
5,6,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
6,7,2,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
7,8,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
8,9,1,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
9,10,1,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
10,11,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
11,12,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
12,13,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
13,14,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
14,15,3,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
15,16,3,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
16,17,3,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
17,18,3,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
18,19,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
19,20,3,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
20,21,3,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
21,22,0,3,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
22,23,3,0,16-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Acend,SuperMassive Blaze
