,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,1,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
1,2,1,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
2,3,2,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
3,4,0,3,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
4,5,1,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
5,6,2,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
6,7,1,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
7,8,1,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
8,9,1,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
9,10,2,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
10,11,2,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
11,12,2,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
12,13,0,3,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
13,14,0,3,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
14,15,3,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
15,16,0,4,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
16,17,0,4,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
17,18,3,0,11-12-21,Split,VALORANT Champions,Acend,Team Liquid,AcendvsTeam Liquid11-12-21
