,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,2,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
1,2,1,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
2,3,2,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
3,4,1,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
4,5,1,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
5,6,0,3,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
6,7,0,3,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
7,8,1,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
8,9,1,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
9,10,0,3,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
10,11,0,3,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
11,12,1,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
12,13,3,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
13,14,3,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
14,15,0,3,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
15,16,3,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
16,17,0,4,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
17,18,3,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
18,19,3,0,08-12-21,Breeze,VALORANT Champions,Acend,Team Secret,AcendvsTeam Secret08-12-21
