,round,Envy,KRÜ Esports,date,map,event
0,1,3,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
1,2,3,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
2,3,4,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
3,4,3,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
4,5,0,3,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
5,6,3,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
6,7,3,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
7,8,3,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
8,9,4,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
9,10,3,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
10,11,0,3,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
11,12,3,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
12,13,1,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
13,14,1,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
14,15,1,0,13-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin
