,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,2,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
1,2,1,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
2,3,0,3,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
3,4,0,4,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
4,5,2,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
5,6,2,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
6,7,1,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
7,8,1,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
8,9,1,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
9,10,0,3,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
10,11,0,3,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
11,12,0,3,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
12,13,3,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
13,14,3,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
14,15,3,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
15,16,3,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
16,17,0,3,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
17,18,0,4,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
18,19,3,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
19,20,3,0,17-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Envy,Sentinels
