,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
1,2,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
2,3,1,0,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
3,4,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
4,5,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
5,6,1,0,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
6,7,1,0,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
7,8,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
8,9,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
9,10,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
10,11,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
11,12,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
12,13,0,3,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
13,14,0,4,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
14,15,4,0,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
15,16,3,0,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
16,17,3,0,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
17,18,0,4,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
18,19,0,4,14-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,F4Q,G2 Esports
