,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
1,2,1,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
2,3,1,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
3,4,1,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
4,5,1,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
5,6,0,3,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
6,7,0,3,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
7,8,0,4,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
8,9,1,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
9,10,0,3,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
10,11,0,3,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
11,12,2,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
12,13,0,4,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
13,14,3,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
14,15,3,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
15,16,0,3,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
16,17,0,4,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
17,18,0,4,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
18,19,3,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
19,20,3,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
20,21,3,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
21,22,0,3,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
22,23,3,0,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
23,24,0,4,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
24,25,0,3,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
25,26,0,4,05-12-21,Breeze,VALORANT Champions,FULL SENSE,Cloud9
