,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,3,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
1,2,3,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
2,3,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
3,4,3,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
4,5,3,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
5,6,4,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
6,7,3,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
7,8,0,4,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
8,9,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
9,10,3,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
10,11,3,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
11,12,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
12,13,1,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
13,14,2,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
14,15,2,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
15,16,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
16,17,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
17,18,2,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
18,19,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
19,20,0,4,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
20,21,0,4,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
21,22,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
22,23,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
23,24,0,3,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
24,25,3,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
25,26,2,0,01-12-21,Fracture,VALORANT Champions,Fnatic,Cloud9
