,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,3,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
1,2,3,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
2,3,4,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
3,4,0,3,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
4,5,0,4,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
5,6,0,4,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
6,7,0,4,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
7,8,0,3,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
8,9,4,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
9,10,0,4,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
10,11,3,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
11,12,0,4,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
12,13,0,3,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
13,14,2,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
14,15,1,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
15,16,0,4,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
16,17,1,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
17,18,2,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
18,19,1,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
19,20,0,3,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
20,21,2,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
21,22,2,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
22,23,1,0,29-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,Team Liquid
