,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,0,4,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
1,2,0,3,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
2,3,0,3,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
3,4,3,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
4,5,3,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
5,6,3,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
6,7,3,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
7,8,3,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
8,9,4,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
9,10,4,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
10,11,4,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
11,12,3,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
12,13,0,3,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
13,14,0,3,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
14,15,2,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
15,16,0,3,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
16,17,0,3,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
17,18,2,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
18,19,2,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
19,20,0,3,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
20,21,0,3,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
21,22,2,0,27-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Fnatic,X10 CRIT,FnaticvsX10 CRIT27-05-21
