,round,G2 Esports,KRÜ Esports,date,map,event
0,1,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
1,2,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
2,3,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
3,4,4,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
4,5,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
5,6,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
6,7,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
7,8,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
8,9,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
9,10,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
10,11,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
11,12,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
12,13,2,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
13,14,2,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
14,15,2,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
15,16,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
16,17,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
17,18,2,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
18,19,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
19,20,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
20,21,1,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
21,22,2,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
