,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
1,2,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
2,3,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
3,4,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
4,5,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
5,6,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
6,7,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
7,8,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
8,9,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
9,10,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
10,11,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
11,12,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
12,13,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
13,14,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
14,15,0,4,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
15,16,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
16,17,0,4,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
17,18,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
18,19,3,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
19,20,3,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
20,21,3,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
21,22,3,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
22,23,0,4,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
23,24,3,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,G2 Esports,Sentinels
