,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,4,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
1,2,0,4,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
2,3,3,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
3,4,4,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
4,5,3,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
5,6,0,3,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
6,7,0,4,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
7,8,0,4,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
8,9,0,4,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
9,10,0,3,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
10,11,0,3,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
11,12,0,3,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
12,13,0,3,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
13,14,1,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
14,15,1,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
15,16,2,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
16,17,2,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
17,18,0,3,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
18,19,0,4,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
19,20,1,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
20,21,1,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
21,22,2,0,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
22,23,0,3,12-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,100 Thieves
