,round,Gambit Esports,Crazy Raccoon,date,map,event
0,1,2,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
1,2,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
2,3,2,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
3,4,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
4,5,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
5,6,2,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
6,7,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
7,8,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
8,9,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
9,10,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
10,11,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
11,12,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
12,13,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
13,14,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
