,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,4,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
1,2,0,4,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
2,3,0,4,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
3,4,0,4,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
4,5,0,4,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
5,6,0,3,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
6,7,3,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
7,8,3,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
8,9,3,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
9,10,0,3,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
10,11,3,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
11,12,3,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
12,13,1,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
13,14,1,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
14,15,1,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
15,16,1,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
16,17,0,4,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
17,18,1,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
18,19,2,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
19,20,2,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
20,21,1,0,16-09-21,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,Crazy Raccoon
