,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
1,2,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
2,3,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
3,4,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
4,5,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
5,6,4,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
6,7,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
7,8,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
8,9,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
9,10,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
10,11,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
11,12,3,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
12,13,1,0,18-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Gambit Esports,G2 Esports
