,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,0,4,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
1,2,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
2,3,0,4,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
3,4,0,4,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
4,5,3,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
5,6,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
6,7,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
7,8,0,4,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
8,9,3,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
9,10,4,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
10,11,4,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
11,12,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
12,13,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
13,14,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
14,15,2,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
15,16,2,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
16,17,2,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
17,18,1,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
18,19,1,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
19,20,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
20,21,1,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
21,22,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
22,23,1,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
23,24,1,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
24,25,3,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
25,26,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
26,27,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
27,28,1,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
28,29,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
29,30,1,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
30,31,3,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
31,32,0,3,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
32,33,3,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
33,34,1,0,11-12-21,Bind,VALORANT Champions,Gambit Esports,KRÜ Esports,Gambit EsportsvsKRÜ Esports11-12-21
