,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
1,2,3,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
2,3,3,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
3,4,0,4,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
4,5,0,4,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
5,6,0,3,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
6,7,3,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
7,8,4,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
8,9,3,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
9,10,0,3,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
10,11,4,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
11,12,3,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
12,13,0,3,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
13,14,2,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
14,15,1,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
15,16,2,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
16,17,1,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
17,18,2,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
18,19,1,0,02-12-21,Bind,VALORANT Champions,Gambit Esports,Team Secret
