,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,2,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
1,2,2,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
2,3,1,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
3,4,0,3,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
4,5,0,4,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
5,6,0,3,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
6,7,1,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
7,8,0,3,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
8,9,1,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
9,10,1,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
10,11,1,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
11,12,0,3,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
12,13,0,3,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
13,14,0,3,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
14,15,3,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
15,16,3,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
16,17,3,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
17,18,4,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
18,19,3,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
19,20,3,0,09-12-21,Breeze,VALORANT Champions,Gambit Esports,X10 CRIT,Gambit EsportsvsX10 CRIT09-12-21
