,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,1,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
1,2,1,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
2,3,0,3,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
3,4,1,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
4,5,0,4,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
5,6,1,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
6,7,0,4,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
7,8,0,3,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
8,9,0,3,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
9,10,1,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
10,11,1,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
11,12,1,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
12,13,3,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
13,14,4,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
14,15,4,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
15,16,0,3,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
16,17,0,4,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
17,18,3,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
18,19,0,4,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
19,20,0,4,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
20,21,3,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
21,22,3,0,05-12-21,Haven,VALORANT Champions,KRÜ Esports,FURIA
