,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
1,2,0,3,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
2,3,0,4,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
3,4,1,0,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
4,5,1,0,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
5,6,0,4,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
6,7,0,3,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
7,8,1,0,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
8,9,0,3,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
9,10,0,3,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
10,11,0,3,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
11,12,0,3,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
12,13,0,4,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
13,14,3,0,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
14,15,3,0,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
15,16,3,0,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
16,17,3,0,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
17,18,0,4,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
18,19,3,0,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
19,20,0,3,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
20,21,0,4,02-12-21,Ascent,VALORANT Champions,KRÜ Esports,Team Liquid
