,round,KRÜ Esports,ZETA DIVISION,date,map,event
0,1,0,3,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
1,2,0,3,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
2,3,1,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
3,4,2,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
4,5,2,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
5,6,0,3,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
6,7,0,3,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
7,8,2,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
8,9,2,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
9,10,1,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
10,11,2,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
11,12,0,3,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
12,13,3,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
13,14,3,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
14,15,0,3,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
15,16,4,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
16,17,3,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
17,18,0,4,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
18,19,3,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
19,20,3,0,12-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin
