,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
1,2,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
2,3,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
3,4,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
4,5,0,4,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
5,6,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
6,7,2,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
7,8,2,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
8,9,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
9,10,1,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
10,11,2,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
11,12,2,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
12,13,3,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
13,14,3,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
14,15,0,4,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
15,16,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
16,17,3,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
17,18,0,4,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
18,19,3,0,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
19,20,0,4,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
20,21,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
21,22,0,3,11-09-21,Bind,Valorant Champions Tour Stage 3: Masters Berlin,Keyd Stars,Envy
