,round,Keyd Stars,ZETA DIVISION,date,map,event
0,1,1,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
1,2,1,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
2,3,1,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
3,4,0,3,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
4,5,2,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
5,6,2,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
6,7,2,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
7,8,2,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
8,9,1,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
9,10,1,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
10,11,1,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
11,12,0,3,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
12,13,3,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
13,14,0,3,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
14,15,0,3,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
15,16,3,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
16,17,3,0,14-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin
