,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,1,0,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
1,2,2,0,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
2,3,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
3,4,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
4,5,0,4,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
5,6,1,0,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
6,7,2,0,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
7,8,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
8,9,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
9,10,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
10,11,0,4,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
11,12,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
12,13,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
13,14,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
14,15,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
15,16,3,0,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
16,17,3,0,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
17,18,3,0,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
18,19,0,3,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
19,20,3,0,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
20,21,0,4,29-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,NUTURN,Fnatic,NUTURNvsFnatic29-05-21
