,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
1,2,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
2,3,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
3,4,0,4,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
4,5,0,4,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
5,6,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
6,7,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
7,8,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
8,9,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
9,10,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
10,11,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
11,12,1,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
12,13,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
13,14,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
14,15,3,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
15,16,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
16,17,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
17,18,4,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
18,19,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
19,20,4,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
20,21,3,0,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
21,22,0,4,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
22,23,0,3,15-09-21,Split,Valorant Champions Tour Stage 3: Masters Berlin,Paper Rex,SuperMassive Blaze
