,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,3,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
1,2,3,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
2,3,3,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
3,4,4,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
4,5,3,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
5,6,0,3,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
6,7,3,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
7,8,3,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
8,9,4,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
9,10,3,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
10,11,0,3,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
11,12,3,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
12,13,0,3,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
13,14,0,3,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
14,15,1,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
15,16,1,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
16,17,1,0,16-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,F4Q
