,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,2,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
1,2,0,3,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
2,3,2,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
3,4,1,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
4,5,1,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
5,6,0,3,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
6,7,2,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
7,8,1,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
8,9,2,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
9,10,1,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
10,11,0,3,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
11,12,2,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
12,13,3,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
13,14,3,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
14,15,0,4,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
15,16,3,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
16,17,0,4,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
17,18,0,3,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
18,19,0,3,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
19,20,0,3,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
20,21,0,4,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
21,22,3,0,02-12-21,Haven,VALORANT Champions,Sentinels,FURIA
