,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
1,2,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
2,3,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
3,4,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
4,5,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
5,6,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
6,7,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
7,8,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
8,9,0,3,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
9,10,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
10,11,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
11,12,1,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
12,13,0,4,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
13,14,0,3,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
14,15,3,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
15,16,0,4,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
16,17,0,3,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
17,18,0,3,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
18,19,0,3,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
19,20,0,3,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
20,21,3,0,12-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin,Sentinels,G2 Esports
