,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
1,2,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
2,3,3,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
3,4,4,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
4,5,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
5,6,4,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
6,7,3,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
7,8,4,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
8,9,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
9,10,4,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
10,11,4,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
11,12,3,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
12,13,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
13,14,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
14,15,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
15,16,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
16,17,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
17,18,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
18,19,2,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
19,20,1,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
20,21,2,0,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
21,22,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
22,23,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
23,24,0,3,06-12-21,Split,VALORANT Champions,Sentinels,KRÜ Esports
