,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,2,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
1,2,0,3,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
2,3,0,3,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
3,4,1,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
4,5,1,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
5,6,1,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
6,7,2,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
7,8,1,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
8,9,2,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
9,10,1,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
10,11,2,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
11,12,2,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
12,13,0,4,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
13,14,0,4,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
14,15,3,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
15,16,4,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
16,17,3,0,28-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,NUTURN,SentinelsvsNUTURN28-05-21
