,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
1,2,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
2,3,2,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
3,4,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
4,5,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
5,6,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
6,7,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
7,8,0,3,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
8,9,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
9,10,0,3,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
10,11,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
11,12,1,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
12,13,3,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
13,14,3,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
14,15,0,4,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
15,16,0,4,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
16,17,0,3,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
17,18,0,3,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
18,19,3,0,26-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Team Vikings,SentinelsvsTeam Vikings26-05-21
