,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,0,3,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
1,2,0,3,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
2,3,3,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
3,4,4,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
4,5,0,4,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
5,6,0,4,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
6,7,0,3,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
7,8,3,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
8,9,3,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
9,10,0,3,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
10,11,0,3,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
11,12,3,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
12,13,1,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
13,14,1,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
14,15,2,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
15,16,0,4,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
16,17,2,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
17,18,1,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
18,19,1,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
19,20,1,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
20,21,0,3,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
21,22,0,3,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
22,23,0,4,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
23,24,2,0,08-12-21,Ascent,VALORANT Champions,Team Liquid,Cloud9,Team LiquidvsCloud908-12-21
