,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,1,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
1,2,1,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
2,3,0,3,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
3,4,0,3,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
4,5,1,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
5,6,1,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
6,7,0,3,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
7,8,2,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
8,9,0,4,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
9,10,0,4,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
10,11,2,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
11,12,0,3,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
12,13,0,4,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
13,14,0,4,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
14,15,3,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
15,16,3,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
16,17,0,3,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
17,18,0,3,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
18,19,3,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
19,20,3,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
20,21,3,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
21,22,3,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
22,23,3,0,04-12-21,Split,VALORANT Champions,Team Liquid,Sentinels
