,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
1,2,1,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
2,3,1,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
3,4,0,3,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
4,5,1,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
5,6,1,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
6,7,1,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
7,8,2,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
8,9,2,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
9,10,1,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
10,11,1,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
11,12,1,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
12,13,3,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
13,14,3,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
14,15,3,0,05-12-21,Haven,VALORANT Champions,Team Secret,Crazy Raccoon
