,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,1,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
1,2,2,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
2,3,2,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
3,4,1,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
4,5,0,3,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
5,6,1,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
6,7,1,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
7,8,0,3,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
8,9,0,4,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
9,10,0,4,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
10,11,0,3,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
11,12,0,3,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
12,13,3,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
13,14,3,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
14,15,3,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
15,16,3,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
16,17,3,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
17,18,3,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
18,19,0,4,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
19,20,0,3,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
20,21,3,0,01-12-21,Haven,VALORANT Champions,Team Vikings,Crazy Raccoon
