,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,3,0,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
1,2,3,0,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
2,3,0,4,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
3,4,3,0,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
4,5,0,3,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
5,6,0,4,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
6,7,0,4,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
7,8,0,4,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
8,9,0,4,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
9,10,0,4,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
10,11,3,0,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
11,12,0,3,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
12,13,1,0,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
13,14,2,0,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
14,15,0,3,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
15,16,0,3,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
16,17,0,3,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
17,18,2,0,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
18,19,0,4,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
19,20,0,3,07-12-21,Icebox,VALORANT Champions,Team Vikings,Team Secret
