,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,3,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
1,2,3,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
2,3,0,4,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
3,4,3,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
4,5,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
5,6,3,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
6,7,3,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
7,8,3,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
8,9,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
9,10,0,4,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
10,11,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
11,12,3,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
12,13,1,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
13,14,1,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
14,15,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
15,16,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
16,17,1,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
17,18,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
18,19,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
19,20,1,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
20,21,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
21,22,1,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
22,23,0,3,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
23,24,1,0,25-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Team Vikings,X10 CRIT,Team VikingsvsX10 CRIT25-05-21
