,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,3,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
1,2,3,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
2,3,0,4,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
3,4,3,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
4,5,3,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
5,6,3,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
6,7,3,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
7,8,3,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
8,9,3,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
9,10,0,3,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
10,11,4,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
11,12,0,3,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
12,13,0,3,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
13,14,0,3,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
14,15,2,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
15,16,0,3,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
16,17,0,3,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
17,18,2,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
18,19,2,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
19,20,0,3,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
20,21,0,3,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
21,22,0,4,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
22,23,1,0,24-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Crazy Raccoon,Version1vsCrazy Raccoon24-05-21
