,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,3,0,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
1,2,3,0,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
2,3,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
3,4,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
4,5,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
5,6,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
6,7,0,4,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
7,8,3,0,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
8,9,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
9,10,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
10,11,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
11,12,3,0,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
12,13,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
13,14,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
14,15,1,0,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
15,16,2,0,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
16,17,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
17,18,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
18,19,0,3,28-05-21,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,Version1,Fnatic,Version1vsFnatic28-05-21
