,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
1,2,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
2,3,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
3,4,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
4,5,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
5,6,0,4,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
6,7,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
7,8,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
8,9,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
9,10,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
10,11,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
11,12,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
12,13,1,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
13,14,1,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
14,15,0,4,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
15,16,2,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
16,17,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
17,18,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
18,19,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
19,20,1,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
20,21,2,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
21,22,2,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Acend
