,round,Vision Strikers,Cloud9,date,map,event
0,1,2,0,07-12-21,Breeze,VALORANT Champions
1,2,0,3,07-12-21,Breeze,VALORANT Champions
2,3,0,3,07-12-21,Breeze,VALORANT Champions
3,4,0,4,07-12-21,Breeze,VALORANT Champions
4,5,0,3,07-12-21,Breeze,VALORANT Champions
5,6,0,3,07-12-21,Breeze,VALORANT Champions
6,7,0,3,07-12-21,Breeze,VALORANT Champions
7,8,2,0,07-12-21,Breeze,VALORANT Champions
8,9,1,0,07-12-21,Breeze,VALORANT Champions
9,10,2,0,07-12-21,Breeze,VALORANT Champions
10,11,0,4,07-12-21,Breeze,VALORANT Champions
11,12,0,3,07-12-21,Breeze,VALORANT Champions
12,13,4,0,07-12-21,Breeze,VALORANT Champions
13,14,3,0,07-12-21,Breeze,VALORANT Champions
14,15,0,3,07-12-21,Breeze,VALORANT Champions
15,16,0,4,07-12-21,Breeze,VALORANT Champions
16,17,0,3,07-12-21,Breeze,VALORANT Champions
17,18,3,0,07-12-21,Breeze,VALORANT Champions
18,19,3,0,07-12-21,Breeze,VALORANT Champions
19,20,0,3,07-12-21,Breeze,VALORANT Champions
20,21,3,0,07-12-21,Breeze,VALORANT Champions
21,22,3,0,07-12-21,Breeze,VALORANT Champions
22,23,3,0,07-12-21,Breeze,VALORANT Champions
23,24,0,4,07-12-21,Breeze,VALORANT Champions
