,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,3,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
1,2,3,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
2,3,0,4,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
3,4,4,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
4,5,3,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
5,6,4,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
6,7,0,4,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
7,8,4,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
8,9,3,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
9,10,3,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
10,11,3,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
11,12,0,3,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
12,13,0,3,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
13,14,0,3,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
14,15,1,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
15,16,2,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
16,17,1,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
17,18,1,0,01-12-21,Breeze,VALORANT Champions,Vision Strikers,FULL SENSE
