,round,Vision Strikers,Fnatic,date,map,event
0,1,0,3,03-12-21,Fracture,VALORANT Champions
1,2,0,3,03-12-21,Fracture,VALORANT Champions
2,3,2,0,03-12-21,Fracture,VALORANT Champions
3,4,0,4,03-12-21,Fracture,VALORANT Champions
4,5,0,4,03-12-21,Fracture,VALORANT Champions
5,6,0,3,03-12-21,Fracture,VALORANT Champions
6,7,0,3,03-12-21,Fracture,VALORANT Champions
7,8,0,3,03-12-21,Fracture,VALORANT Champions
8,9,0,3,03-12-21,Fracture,VALORANT Champions
9,10,0,3,03-12-21,Fracture,VALORANT Champions
10,11,2,0,03-12-21,Fracture,VALORANT Champions
11,12,2,0,03-12-21,Fracture,VALORANT Champions
12,13,0,4,03-12-21,Fracture,VALORANT Champions
13,14,3,0,03-12-21,Fracture,VALORANT Champions
14,15,3,0,03-12-21,Fracture,VALORANT Champions
15,16,0,4,03-12-21,Fracture,VALORANT Champions
16,17,0,3,03-12-21,Fracture,VALORANT Champions
17,18,4,0,03-12-21,Fracture,VALORANT Champions
18,19,0,3,03-12-21,Fracture,VALORANT Champions
