,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,2,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
1,2,1,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
2,3,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
3,4,2,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
4,5,1,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
5,6,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
6,7,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
7,8,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
8,9,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
9,10,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
10,11,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
11,12,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
12,13,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
13,14,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
14,15,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
15,16,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
16,17,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
17,18,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
18,19,0,4,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
19,20,3,0,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
20,21,0,3,17-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Gambit Esports
