,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
1,2,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
2,3,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
3,4,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
4,5,0,4,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
5,6,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
6,7,1,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
7,8,2,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
8,9,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
9,10,2,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
10,11,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
11,12,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
12,13,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
13,14,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
14,15,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
15,16,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
16,17,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
17,18,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
18,19,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
19,20,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
20,21,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
21,22,4,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
22,23,0,3,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
23,24,3,0,11-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,Vision Strikers,Paper Rex
