,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,3,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
1,2,3,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
2,3,4,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
3,4,0,4,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
4,5,3,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
5,6,0,4,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
6,7,0,4,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
7,8,3,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
8,9,0,3,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
9,10,0,3,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
10,11,4,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
11,12,4,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
12,13,2,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
13,14,1,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
14,15,1,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
15,16,2,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
16,17,2,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
17,18,1,0,26-05-21,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,X10 CRIT,Crazy Raccoon,X10 CRITvsCrazy Raccoon26-05-21
