winner,loser,numRounds,mapName,event,date
Vision Strikers,FULL SENSE,18,Breeze,VALORANT Champions,2021-12-01 09:00:00
Acend,Gambit Esports,24,Split,VALORANT Champions,2021-12-12 12:30:00
Acend,Team Liquid,19,Split,VALORANT Champions,2021-12-11 12:00:00
Gambit Esports,KRÜ Esports,21,Bind,VALORANT Champions,2021-12-11 15:00:00
Team Liquid,Cloud9,23,Ascent,VALORANT Champions,2021-12-08 15:00:00
Envy,X10 CRIT,23,Haven,VALORANT Champions,2021-12-07 16:00:00
Gambit Esports,X10 CRIT,20,Breeze,VALORANT Champions,2021-12-09 12:00:00
Acend,Team Secret,21,Breeze,VALORANT Champions,2021-12-08 12:00:00
Fnatic,KRÜ Esports,28,Split,VALORANT Champions,2021-12-09 15:40:00
Team Vikings,Team Secret,19,Icebox,VALORANT Champions,2021-12-07 13:15:00
Vision Strikers,Cloud9,23,Breeze,VALORANT Champions,2021-12-07 09:00:00
Sentinels,KRÜ Esports,20,Split,VALORANT Champions,2021-12-06 14:40:00
Keyd Stars,X10 CRIT,19,Haven,VALORANT Champions,2021-12-06 12:00:00
Acend,Envy,21,Bind,VALORANT Champions,2021-12-06 09:00:00
KRÜ Esports,FURIA,24,Haven,VALORANT Champions,2021-12-05 12:35:00
FULL SENSE,Cloud9,20,Breeze,VALORANT Champions,2021-12-05 16:30:00
NUTURN,Fnatic,21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-29 15:30:00
Sentinels,Fnatic,26,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-30 13:00:00
Fnatic,Team Liquid,23,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-29 13:00:00
Team Liquid,KRÜ Esports,15,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-27 16:45:00
Sharks Esports,KRÜ Esports,18,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-26 13:20:00
Team Vikings,Team Liquid,21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-28 13:25:00
Sentinels,NUTURN,18,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-28 15:30:00
Version1,Fnatic,26,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-28 11:00:00
Fnatic,X10 CRIT,17,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-27 14:40:00
X10 CRIT,Crazy Raccoon,22,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-26 11:00:00
Sentinels,Team Vikings,20,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-26 15:30:00
Version1,NUTURN,16,Split,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-27 11:00:00
Sentinels,Fnatic,24,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-25 18:05:00
Envy,Gambit Esports,28,Split,Valorant Champions Tour Stage 3: Masters Berlin,2021-09-19 12:00:00
Team Liquid,Version1,30,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-25 14:05:00
Version1,Crazy Raccoon,24,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-24 13:25:00
100 Thieves,Envy,18,Ascent,Valorant Champions Tour Stage 3: Masters Berlin,2021-09-18 14:35:00
Team Vikings,X10 CRIT,26,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-25 11:00:00
Sharks Esports,NUTURN,18,Ascent,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-24 16:45:00
Fnatic,KRÜ Esports,18,Icebox,Valorant Champions Tour Stage 2: Masters Reykjavik,2021-05-24 11:00:00
Gambit Esports,G2 Esports,23,Icebox,Valorant Champions Tour Stage 3: Masters Berlin,2021-09-18 12:00:00
Sentinels,F4Q,16,Haven,Valorant Champions Tour Stage 3: Masters Berlin,2021-09-16 16:05:00
